,"psscsvfile, 100",,,
,"DUO3単語, DUO3, BP",,,
,単語だけ,,,
,a1,q1,q2,q3
2568,be strarved,おなかがペコペコだ,,
2563,by the way,ところで,,
2552,motive,動機,,
2551,these days,近頃は,,
2550,break … off,…が壊れる(破局する),,
2549,I'm at a loss for words.,あきれてものが言えないよ,,
2546,speaking of …,…と言えば,,
2545,childhood,少年時代,,
2543,precious,貴重な、大切な,,
2542,cherish …,…を大切にする,,
2541,get over …,…(病気などを)克服する,,
2539,grief,深い悲しみ,,
2538,feel for …,…の気持ちがわかる
2537,make agreements,段取りをつける
2536,funeral,葬式
2534,besides …,…に加えて
2531,pass away,(人が)亡くなる
2530,relative,親戚
2529,yawn,あくびをする
2528,sneeze,くしゃみをする
2527,cough,咳をする
2526,atmosphere,雰囲気
2525,solemn,厳粛な
2524,spoil …,…を台無しにする
2523,burst into …,突然…の状態になる
2522,priest,聖職者、僧侶
2520,all at once,突然
2519,postpone …,…の延期を決定する
2518,take place,(行事・会合などが)行われる
2517,ritual,(宗教的・伝統的な)儀式
2516,sacred,神聖な
2515,meditation,(宗教的な)瞑想
2514,interfare (with …),(…の)邪魔[妨害]をする
2511,(all) on one's own,自分(だけ)で[他人の力を借りずに]
2510,ordeal,厳しい試練
2509,get through …,…(辛いこと)を乗り切る
2508,reflect on[upon] …,…をよく考える
2506,take one's time,慌てない
2503,arrogance,傲慢さ
2502,put up with …,…に我慢する[耐える]
2501,provoke …,…を挑発する
2500,(It) serves your right.,当然の報いだ
2499,take … back,…(発言などを)撤回する
2498,idiot,ばか
2497,go so far as to do …,(なんと)…さえもする
2496,sorrow,(深い)悲しみ
2495,opposite,反対のもの
2494,delight,(大きな)喜び
2493,be there (for A),(困ったときには) (Aの) そばにいる
2492,feel down,気分が落ち込んでいる
2488,Not much.,別に
2487,What's up?,どうだい調子は?
2486,give (…) up,(…を)あきらめる
2485,be seeing …,…(異性)と付き合っている
2484,even though 〜,実際に〜だけれども(それでも)
